date,open,high,low,close,volume,average,barCount
2023-05-25,1.359395,1.364505,1.35865,1.36412,-1.0,-1.0,-1
2023-05-26,1.36375,1.36548,1.36009,1.361355,-1.0,-1.0,-1
2023-05-29,1.36105,1.362395,1.358315,1.358965,-1.0,-1.0,-1
2023-05-30,1.35937,1.36135,1.356725,1.360295,-1.0,-1.0,-1
2023-05-31,1.35998,1.36513,1.35693,1.3572,-1.0,-1.0,-1
2023-06-01,1.35727,1.358525,1.343665,1.34498,-1.0,-1.0,-1
2023-06-02,1.344765,1.345135,1.3407,1.342505,-1.0,-1.0,-1
2023-06-05,1.34215,1.3462,1.341755,1.34453,-1.0,-1.0,-1
2023-06-06,1.34415,1.34525,1.33903,1.34036,-1.0,-1.0,-1
2023-06-07,1.340325,1.34268,1.33214,1.33692,-1.0,-1.0,-1
2023-06-08,1.337075,1.338805,1.33342,1.335725,-1.0,-1.0,-1
2023-06-09,1.33589,1.33713,1.33133,1.33428,-1.0,-1.0,-1
2023-06-12,1.334175,1.338385,1.331495,1.336835,-1.0,-1.0,-1
2023-06-13,1.3366,1.33787,1.3286,1.331655,-1.0,-1.0,-1
2023-06-14,1.33138,1.33532,1.32722,1.332425,-1.0,-1.0,-1
2023-06-15,1.332265,1.33548,1.32098,1.3223,-1.0,-1.0,-1
2023-06-16,1.322155,1.32395,1.317775,1.319965,-1.0,-1.0,-1
2023-06-19,1.320175,1.3229,1.31793,1.32106,-1.0,-1.0,-1
2023-06-20,1.32099,1.326995,1.32056,1.32346,-1.0,-1.0,-1
2023-06-21,1.323445,1.32458,1.315735,1.316405,-1.0,-1.0,-1
2023-06-22,1.3166,1.317925,1.313895,1.315085,-1.0,-1.0,-1
2023-06-23,1.315365,1.322595,1.314315,1.31829,-1.0,-1.0,-1
2023-06-26,1.31825,1.318605,1.313615,1.315505,-1.0,-1.0,-1
2023-06-27,1.31503,1.31923,1.31168,1.3192,-1.0,-1.0,-1
2023-06-28,1.31937,1.32768,1.318935,1.325785,-1.0,-1.0,-1
2023-06-29,1.32578,1.32857,1.32391,1.32522,-1.0,-1.0,-1
2023-06-30,1.324775,1.328555,1.320685,1.3236,-1.0,-1.0,-1
2023-07-03,1.3244,1.32735,1.323025,1.32488,-1.0,-1.0,-1
2023-07-04,1.325175,1.32569,1.320325,1.322235,-1.0,-1.0,-1
2023-07-05,1.322165,1.32933,1.32203,1.328165,-1.0,-1.0,-1
2023-07-06,1.3282,1.33728,1.32752,1.33686,-1.0,-1.0,-1
2023-07-07,1.33644,1.33871,1.32659,1.327065,-1.0,-1.0,-1
2023-07-10,1.3274,1.33045,1.326835,1.328025,-1.0,-1.0,-1
2023-07-11,1.32773,1.32897,1.323005,1.32307,-1.0,-1.0,-1
2023-07-12,1.32319,1.323415,1.314355,1.31869,-1.0,-1.0,-1
2023-07-13,1.31868,1.31949,1.31036,1.310945,-1.0,-1.0,-1
2023-07-14,1.31165,1.322715,1.309265,1.321785,-1.0,-1.0,-1
2023-07-17,1.32185,1.323245,1.316095,1.31996,-1.0,-1.0,-1
2023-07-18,1.3194,1.32436,1.316735,1.316835,-1.0,-1.0,-1
2023-07-19,1.31734,1.31933,1.315585,1.316395,-1.0,-1.0,-1
2023-07-20,1.3164,1.31947,1.31195,1.3171,-1.0,-1.0,-1
2023-07-21,1.317075,1.322655,1.31533,1.32242,-1.0,-1.0,-1
2023-07-24,1.321945,1.32289,1.31503,1.316755,-1.0,-1.0,-1
2023-07-25,1.31679,1.32097,1.314685,1.31717,-1.0,-1.0,-1
2023-07-26,1.317165,1.3238,1.316995,1.320755,-1.0,-1.0,-1
2023-07-27,1.32095,1.324325,1.315845,1.32238,-1.0,-1.0,-1
2023-07-28,1.323,1.3255,1.32015,1.3234,-1.0,-1.0,-1
2023-07-31,1.3246,1.3262,1.3151,1.319,-1.0,-1.0,-1
2023-08-01,1.3188,1.33005,1.31845,1.32815,-1.0,-1.0,-1
2023-08-02,1.32845,1.3354,1.32655,1.335,-1.0,-1.0,-1
2023-08-03,1.3352,1.33785,1.33285,1.3353,-1.0,-1.0,-1
2023-08-04,1.33505,1.33945,1.3319,1.33795,-1.0,-1.0,-1
2023-08-07,1.3375,1.33995,1.33555,1.33695,-1.0,-1.0,-1
2023-08-08,1.3364,1.35025,1.33635,1.34185,-1.0,-1.0,-1
2023-08-09,1.34195,1.34545,1.3404,1.34195,-1.0,-1.0,-1
2023-08-10,1.34255,1.34505,1.3372,1.34485,-1.0,-1.0,-1
2023-08-11,1.34485,1.34665,1.34125,1.34415,-1.0,-1.0,-1
2023-08-14,1.3443,1.34805,1.3412,1.34605,-1.0,-1.0,-1
2023-08-15,1.34645,1.3502,1.34395,1.3498,-1.0,-1.0,-1
2023-08-16,1.34985,1.35455,1.3475,1.35325,-1.0,-1.0,-1
2023-08-17,1.35325,1.3553,1.3496,1.3546,-1.0,-1.0,-1
2023-08-18,1.35365,1.35755,1.35245,1.3553,-1.0,-1.0,-1
2023-08-21,1.3549,1.3573,1.349615,1.354455,-1.0,-1.0,-1
2023-08-22,1.35425,1.35651,1.351325,1.355015,-1.0,-1.0,-1
2023-08-23,1.355125,1.360405,1.35204,1.352565,-1.0,-1.0,-1
2023-08-24,1.35238,1.358915,1.351005,1.35822,-1.0,-1.0,-1
2023-08-25,1.357535,1.364,1.356935,1.35995,-1.0,-1.0,-1
2023-08-28,1.359695,1.361195,1.35702,1.359955,-1.0,-1.0,-1
2023-08-29,1.35975,1.363755,1.355,1.35524,-1.0,-1.0,-1
2023-08-30,1.35586,1.35771,1.351325,1.35321,-1.0,-1.0,-1
