date,open,high,low,close,volume,average,barCount,returns,volatility
2023-07-24,1.285325,1.288385,1.2798,1.28275,-1.0,-1.0,-1,-0.002053851360287573,0.07665008168693153
2023-07-25,1.281825,1.29051,1.28096,1.290125,-1.0,-1.0,-1,0.0057493665952055295,0.07503469594884576
2023-07-26,1.28945,1.29604,1.287555,1.294115,-1.0,-1.0,-1,0.0030927235732971514,0.07475241306541423
2023-07-27,1.29435,1.2996,1.2782,1.27965,-1.0,-1.0,-1,-0.011177522863114908,0.07755976541905371
2023-07-28,1.2799,1.2889,1.2763,1.28525,-1.0,-1.0,-1,0.004376196616262318,0.07819667564973362
2023-07-31,1.2851,1.2873,1.28285,1.2835,-1.0,-1.0,-1,-0.0013616028010113856,0.07805235785876256
2023-08-01,1.2838,1.2842,1.2741,1.27765,-1.0,-1.0,-1,-0.004557849629918342,0.07897323982008142
2023-08-02,1.27725,1.28065,1.268,1.2711,-1.0,-1.0,-1,-0.005126599616483429,0.08036928436689805
2023-08-03,1.27165,1.27285,1.26205,1.27085,-1.0,-1.0,-1,-0.0001966800409093361,0.08023118432150088
2023-08-04,1.27045,1.27925,1.2682,1.27505,-1.0,-1.0,-1,0.003304874690168047,0.08039127074079501
2023-08-07,1.27635,1.27895,1.2713,1.2784,-1.0,-1.0,-1,0.002627347947139258,0.08072060290400482
2023-08-08,1.2776,1.2786,1.2684,1.2748,-1.0,-1.0,-1,-0.0028160200250313405,0.08079185141010567
2023-08-09,1.2741,1.27825,1.27115,1.2719,-1.0,-1.0,-1,-0.0022748666457482747,0.07666560299130233
2023-08-10,1.27185,1.28195,1.26695,1.2676,-1.0,-1.0,-1,-0.0033807689283748,0.07719179379429342
2023-08-11,1.268,1.2739,1.2666,1.26945,-1.0,-1.0,-1,0.001459450930892947,0.07471881037541085
2023-08-14,1.2701,1.2715,1.26165,1.26865,-1.0,-1.0,-1,-0.0006301941785812337,0.07472726185200654
2023-08-15,1.26835,1.2753,1.2675,1.27045,-1.0,-1.0,-1,0.001418831040870261,0.07470337867958558
2023-08-16,1.26985,1.27665,1.2687,1.27315,-1.0,-1.0,-1,0.0021252312172852506,0.07492554429356348
2023-08-17,1.2723,1.2788,1.27025,1.27465,-1.0,-1.0,-1,0.001178180104465243,0.0745713281511118
2023-08-18,1.27485,1.27665,1.2689,1.2733,-1.0,-1.0,-1,-0.0010591142666613873,0.0712299356107119
2023-08-21,1.2738,1.276705,1.271045,1.27564,-1.0,-1.0,-1,0.001837744443571765,0.0711687057648448
2023-08-22,1.27562,1.280055,1.27187,1.27323,-1.0,-1.0,-1,-0.0018892477501489813,0.06912123304614745
2023-08-23,1.2729,1.27649,1.261475,1.272565,-1.0,-1.0,-1,-0.0005222936939909273,0.06763578230817832
2023-08-24,1.27255,1.272975,1.259085,1.26021,-1.0,-1.0,-1,-0.009708737864077555,0.06231235680771097
2023-08-25,1.26036,1.26545,1.2548,1.258195,-1.0,-1.0,-1,-0.0015989398592298754,0.06203069817972842
2023-08-28,1.258705,1.261105,1.25657,1.26017,-1.0,-1.0,-1,0.001569708987875451,0.06258962053419558
2023-08-29,1.26,1.26551,1.25628,1.264415,-1.0,-1.0,-1,0.003368593126324315,0.06377052413674676
2023-08-30,1.26425,1.27464,1.261875,1.27211,-1.0,-1.0,-1,0.006085818342870031,0.06399194637733308
2023-08-31,1.271605,1.273455,1.265265,1.267245,-1.0,-1.0,-1,-0.0038243548120839854,0.06301126831349232
2023-09-01,1.268045,1.271315,1.257745,1.259105,-1.0,-1.0,-1,-0.006423383008021366,0.06529865086732024
2023-09-04,1.25925,1.264265,1.258665,1.26297,-1.0,-1.0,-1,0.0030696407368726586,0.06604625162037457
2023-09-05,1.26255,1.263205,1.25282,1.256405,-1.0,-1.0,-1,-0.0051980648788173545,0.06463756473013833
2023-09-06,1.257,1.258815,1.248215,1.250755,-1.0,-1.0,-1,-0.004496957589312345,0.06433199374346166
2023-09-07,1.250425,1.25088,1.244575,1.24725,-1.0,-1.0,-1,-0.0028023074063266984,0.05713986878331492
2023-09-08,1.247075,1.251445,1.245125,1.24671,-1.0,-1.0,-1,-0.00043295249549002435,0.05497803743730129
2023-09-11,1.247165,1.25484,1.247165,1.250735,-1.0,-1.0,-1,0.003228497405170394,0.05631516441916471
2023-09-12,1.251575,1.25301,1.245965,1.248935,-1.0,-1.0,-1,-0.00143915377757875,0.055248790555876205
2023-09-13,1.24895,1.251195,1.24345,1.249005,-1.0,-1.0,-1,5.604775268519546e-05,0.053702772130354647
2023-09-14,1.2485,1.250645,1.23966,1.24091,-1.0,-1.0,-1,-0.0064811590025659616,0.056338331951646815
2023-09-15,1.240775,1.24459,1.23789,1.2383,-1.0,-1.0,-1,-0.002103295162421137,0.05509061830949037
2023-09-18,1.23895,1.241065,1.237015,1.23824,-1.0,-1.0,-1,-4.8453524993941066e-05,0.05411004542912997
2023-09-19,1.23905,1.242495,1.23702,1.23923,-1.0,-1.0,-1,0.0007995219020544564,0.05410379901938455
2023-09-20,1.238975,1.24215,1.23319,1.23438,-1.0,-1.0,-1,-0.003913720616834704,0.054661511496405385
2023-09-21,1.234775,1.234775,1.22375,1.22968,-1.0,-1.0,-1,-0.0038075795136018886,0.054837315605412676
2023-09-22,1.22965,1.2298,1.223095,1.224025,-1.0,-1.0,-1,-0.004598757400299469,0.055279622321448466
2023-09-25,1.225505,1.225505,1.219385,1.22117,-1.0,-1.0,-1,-0.0023324686995770394,0.05534512439257406
2023-09-26,1.221075,1.22159,1.21523,1.215805,-1.0,-1.0,-1,-0.004393327710310646,0.05545963070174315
2023-09-27,1.2162,1.216445,1.211045,1.213555,-1.0,-1.0,-1,-0.0018506257171175822,0.05441438277205835
2023-09-28,1.21425,1.222475,1.21201,1.219945,-1.0,-1.0,-1,0.005265521546201191,0.057427958133349
2023-09-29,1.220575,1.22718,1.218035,1.219955,-1.0,-1.0,-1,8.197090852313238e-06,0.057574983889817445
2023-10-02,1.21995,1.222015,1.20862,1.208715,-1.0,-1.0,-1,-0.009213454594636628,0.06095263133697154
2023-10-03,1.20867,1.210175,1.20524,1.207675,-1.0,-1.0,-1,-0.0008604178818000241,0.061010629458208746
